rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =       weight_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =         door_close | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =               idle | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0101 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =       weight_check | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0000 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
============Test Case 18 : What happens if up=1 down=1  down=0 ============
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =         door_close | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =               idle | floor = 0101 | current_floor = 0000 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =            move_up | floor = 0101 | current_floor = 0000 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =            move_up | floor = 0101 | current_floor = 0001 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =            move_up | floor = 0101 | current_floor = 0010 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =            move_up | floor = 0101 | current_floor = 0011 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =            move_up | floor = 0101 | current_floor = 0100 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0010 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =            move_up | floor = 0101 | current_floor = 0101 | move_up = 1 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0101 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =       weight_check | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =         door_close | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =               idle | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0101 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =       weight_check | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 0101 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
============Test case 19 : what happens if up=1 and down =1
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 1000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 1000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 1000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 1000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0100 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =          door_open | floor = 1000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 1 | door_close = 0 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0111 | 
rst = 0 | clk = 1 | electricity = 0 | generator = 1 |weight = 011001000 | current_state =         door_close | floor = 1000 | current_floor = 0101 | move_up = 0 | move_down = 0 | door_open = 0 | door_close = 1 | light_on = 0 | fan_on = 0 | alarm_on = 0 | e_stop = 0 |p_state = 0001 | n_state = 0001 | 
